"X","Y","Z","Intensity"
3.719,-1.733,1.099,138.000
3.724,-1.749,1.103,138.000
3.722,-1.764,1.104,139.000
3.707,-1.774,1.101,140.000
3.695,-1.785,1.099,139.000
3.689,-1.797,1.099,138.000
3.686,-1.811,1.100,138.000
3.684,-1.825,1.102,139.000
3.665,-1.833,1.098,140.000
3.659,-1.845,1.098,140.000
3.647,-1.855,1.096,139.000
3.651,-1.872,1.099,138.000
3.645,-1.885,1.099,139.000
3.631,-1.894,1.097,139.000
3.618,-1.903,1.095,138.000
3.617,-1.920,1.097,139.000
3.612,-1.934,1.098,140.000
3.611,-1.948,1.099,139.000
3.596,-1.956,1.097,140.000
3.581,-1.964,1.094,139.000
3.577,-1.979,1.095,139.000
3.574,-1.992,1.096,139.000
3.570,-2.007,1.097,139.000
3.560,-2.017,1.096,141.000
3.546,-2.027,1.094,139.000
3.544,-2.041,1.096,140.000
3.547,-2.059,1.099,140.000
3.542,-2.072,1.099,139.000
3.521,-2.077,1.095,138.000
3.513,-2.089,1.095,139.000
3.506,-2.102,1.095,138.000
3.506,-2.117,1.097,138.000
3.498,-2.130,1.097,139.000
3.486,-2.139,1.096,140.000
3.477,-2.150,1.095,139.000
3.472,-2.165,1.096,139.000
3.474,-2.183,1.099,139.000
3.467,-2.195,1.099,138.000
3.451,-2.202,1.097,46.000
3.462,-2.225,1.103,127.000
3.461,-2.243,1.105,131.000
3.460,-2.258,1.107,132.000
3.451,-2.270,1.107,134.000
3.437,-2.277,1.105,136.000
3.425,-2.288,1.104,135.000
3.421,-2.301,1.105,135.000
3.419,-2.318,1.107,135.000
3.414,-2.331,1.108,135.000
3.399,-2.339,1.106,135.000
3.392,-2.350,1.106,135.000
3.390,-2.367,1.108,134.000
3.382,-2.378,1.108,134.000
3.379,-2.395,1.110,134.000
3.365,-2.402,1.108,135.000
3.356,-2.414,1.108,134.000
3.351,-2.428,1.109,134.000
3.344,-2.441,1.109,132.000
3.339,-2.454,1.110,132.000
3.326,-2.463,1.109,134.000
3.318,-2.476,1.109,133.000
3.309,-2.487,1.109,133.000
3.309,-2.507,1.112,132.000
3.301,-2.518,1.112,132.000
3.287,-2.524,1.110,132.000
3.277,-2.536,1.110,133.000
3.275,-2.551,1.112,132.000
3.269,-2.566,1.113,132.000
